,Worker ID,Link to Individual Worker Page,Number of HITs approved or rejected - Lifetime,Number of HITs approved - Lifetime,Your Lifetime approval rate,Number of HITs approved or rejected - Last 30 days,Number of HITs approved - Last 30 days,Your Last 30 days approval rate,Number of HITs approved or rejected - Last 7 days,Number of HITs approved - Last 7 days,Your Last 7 days approval rate,CURRENT-took part in a tapseq task,UPDATE-took part in a tapseq task,CURRENT-participated in the past,UPDATE-participated in the past,CURRENT-eligible for next step memory rep,UPDATE-eligible for next step memory rep,CURRENT-eligible for memory testing 1 week,UPDATE-eligible for memory testing 1 week,CURRENT-completed memory rep,UPDATE-completed memory rep,CURRENT-completed memory encoding 24h,UPDATE-completed memory encoding 24h,CURRENT-completed encoding successfully ,UPDATE-completed encoding successfully ,CURRENT-completed day5,UPDATE-completed day5,CURRENT-completed day4,UPDATE-completed day4,CURRENT-completed day3,UPDATE-completed day3,CURRENT-completed day2,UPDATE-completed day2,CURRENT-completed day1,UPDATE-completed day1,CURRENT-Completed My Experiment Already,UPDATE-Completed My Experiment Already,CURRENT BlockStatus,UPDATE BlockStatus,BlockReason,demo_demo_accuracy,demo_arrow_correct,encoding_arrow_accuracy,testing_longest_response_strike,not_too_slow,not_too_Fast,sufficient_test_acc,WorkerId,UPDATE-completed birds memory rep
18,A10XFCECSD87YG,https://requester.mturk.com/workers/A10XFCECSD87YG,3,3,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,1.0,,1.0,,,,Never Blocked,,,,,,,,,,,1
19,A10ZJQC7W1QHIO,https://requester.mturk.com/workers/A10ZJQC7W1QHIO,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,,1
20,A110BZSDZN7E16,https://requester.mturk.com/workers/A110BZSDZN7E16,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,,1
21,A1143GKN5T807X,https://requester.mturk.com/workers/A1143GKN5T807X,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,1.0,,,,Never Blocked,,,,,,,,,,,1
22,A1160COTUR26JZ,https://requester.mturk.com/workers/A1160COTUR26JZ,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,1.0,,,,Never Blocked,,,,,,,,,,,1
23,A11BAIN13IGWCW,https://requester.mturk.com/workers/A11BAIN13IGWCW,1,1,100.00%,0,0,0.00%,0,0,0.00%,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
24,A11BJE0D8B71FL,https://requester.mturk.com/workers/A11BJE0D8B71FL,1,0,0.00%,0,0,0.00%,0,0,0.00%,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
25,A11CY37O9P73HW,https://requester.mturk.com/workers/A11CY37O9P73HW,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,,1
26,A11ED29FYJKV2E,https://requester.mturk.com/workers/A11ED29FYJKV2E,2,2,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,1.0,,1.0,,,,Never Blocked,,,,,,,,,,,1
27,A11EXIB1MVBZFJ,https://requester.mturk.com/workers/A11EXIB1MVBZFJ,2,2,100.00%,0,0,0.00%,0,0,0.00%,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
28,A11F3MA5FWH6SJ,https://requester.mturk.com/workers/A11F3MA5FWH6SJ,1,1,100.00%,0,0,0.00%,0,0,0.00%,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
29,A11FFJZ0C984W4,https://requester.mturk.com/workers/A11FFJZ0C984W4,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,,1
30,A11MOA9HW11EP1,https://requester.mturk.com/workers/A11MOA9HW11EP1,2,2,100.00%,2,2,100.00%,1,1,100.00%,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
31,A11OGIKK5UL6QP,https://requester.mturk.com/workers/A11OGIKK5UL6QP,3,3,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,1.0,,1.0,,1.0,,,,Never Blocked,,,,,,,,,,,1
32,A11R31H4YHL2Z7,https://requester.mturk.com/workers/A11R31H4YHL2Z7,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,,1
33,A11S8IAAVDXCUS,https://requester.mturk.com/workers/A11S8IAAVDXCUS,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,,1
34,A11TPUPFP2S4MK,https://requester.mturk.com/workers/A11TPUPFP2S4MK,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,,1
35,A11VIIKMLHTBRG,https://requester.mturk.com/workers/A11VIIKMLHTBRG,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,,1
36,A11YJE9ACM2FJC,https://requester.mturk.com/workers/A11YJE9ACM2FJC,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,,1
37,A122LRCSBAD6DC,https://requester.mturk.com/workers/A122LRCSBAD6DC,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,,1
38,A1241KHV9VEGC4,https://requester.mturk.com/workers/A1241KHV9VEGC4,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,,1
39,A124AKGRZFQ8N9,https://requester.mturk.com/workers/A124AKGRZFQ8N9,1,1,100.00%,0,0,0.00%,0,0,0.00%,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
40,A129Y082RKJN6V,https://requester.mturk.com/workers/A129Y082RKJN6V,1,0,0.00%,0,0,0.00%,0,0,0.00%,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
41,A12FWSJX9VPHAN,https://requester.mturk.com/workers/A12FWSJX9VPHAN,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,,1
42,A12H7ZIWLHCRRF,https://requester.mturk.com/workers/A12H7ZIWLHCRRF,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,,1
43,A12J4IRF5Z06BT,https://requester.mturk.com/workers/A12J4IRF5Z06BT,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,,1
44,A12K1ADYMRSWMJ,https://requester.mturk.com/workers/A12K1ADYMRSWMJ,1,1,100.00%,0,0,0.00%,0,0,0.00%,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
45,A12KEVAHN5P4WU,https://requester.mturk.com/workers/A12KEVAHN5P4WU,1,1,100.00%,0,0,0.00%,0,0,0.00%,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
46,A12NBGVI9QN3DQ,https://requester.mturk.com/workers/A12NBGVI9QN3DQ,1,1,100.00%,0,0,0.00%,0,0,0.00%,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
47,A12NDIK7C4TFPC,https://requester.mturk.com/workers/A12NDIK7C4TFPC,1,1,100.00%,0,0,0.00%,0,0,0.00%,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
48,A12NT768CR36E5,https://requester.mturk.com/workers/A12NT768CR36E5,1,1,100.00%,0,0,0.00%,0,0,0.00%,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
49,A12PUQIBXRBOXV,https://requester.mturk.com/workers/A12PUQIBXRBOXV,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,,1
50,A12TWJFR4B22X4,https://requester.mturk.com/workers/A12TWJFR4B22X4,2,1,50.00%,2,1,50.00%,1,0,0.00%,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
51,A12TZ1W76AGOF9,https://requester.mturk.com/workers/A12TZ1W76AGOF9,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,1.0,,,,Never Blocked,,,,,,,,,,,1
52,A12UOIO3KBRF7M,https://requester.mturk.com/workers/A12UOIO3KBRF7M,3,3,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,1.0,,1.0,,1.0,,,,Never Blocked,,,,,,,,,,,1
53,A12VDN3TJJCAQQ,https://requester.mturk.com/workers/A12VDN3TJJCAQQ,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,,1
54,A12X8RUSITV7RU,https://requester.mturk.com/workers/A12X8RUSITV7RU,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,,1
55,A134K8O4EOZ45W,https://requester.mturk.com/workers/A134K8O4EOZ45W,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,1.0,,,,Never Blocked,,,,,,,,,,,1
56,A136K4YZY2OFTV,https://requester.mturk.com/workers/A136K4YZY2OFTV,2,2,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
57,A137V1J5GNNZTH,https://requester.mturk.com/workers/A137V1J5GNNZTH,1,1,100.00%,0,0,0.00%,0,0,0.00%,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
58,A13B52O6OQBPO,https://requester.mturk.com/workers/A13B52O6OQBPO,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,,1
59,A13CAAOJ5GP4UQ,https://requester.mturk.com/workers/A13CAAOJ5GP4UQ,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,,1
60,A13CXQGLSH6QY8,https://requester.mturk.com/workers/A13CXQGLSH6QY8,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,1.0,,,,Never Blocked,,,,,,,,,,,1
61,A13DHPKBQXN9R7,https://requester.mturk.com/workers/A13DHPKBQXN9R7,5,5,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,1.0,,1.0,,1.0,,1.0,,,,Never Blocked,,,,,,,,,,,1
62,A13FUEPWBCLBUY,https://requester.mturk.com/workers/A13FUEPWBCLBUY,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,,1
63,A13G7ES1XTH5YG,https://requester.mturk.com/workers/A13G7ES1XTH5YG,4,4,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,1.0,,1.0,,1.0,,,,Never Blocked,,,,,,,,,,,1
64,A13G9JEAEZQPUG,https://requester.mturk.com/workers/A13G9JEAEZQPUG,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,,1
65,A13H9NI9SOJ868,https://requester.mturk.com/workers/A13H9NI9SOJ868,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
66,A13JTA4FWDNNC7,https://requester.mturk.com/workers/A13JTA4FWDNNC7,1,1,100.00%,0,0,0.00%,0,0,0.00%,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
67,A13OVBVPYV74T4,https://requester.mturk.com/workers/A13OVBVPYV74T4,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,,1
68,A13UMY3NL33676,https://requester.mturk.com/workers/A13UMY3NL33676,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,1.0,,,,Never Blocked,,,,,,,,,,,1
69,A13WTEQ06V3B6D,https://requester.mturk.com/workers/A13WTEQ06V3B6D,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,,1
70,A13Y5SUT236JE4,https://requester.mturk.com/workers/A13Y5SUT236JE4,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,1.0,,,,Never Blocked,,,,,,,,,,,1
71,A13Z2ERE65VKFW,https://requester.mturk.com/workers/A13Z2ERE65VKFW,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,1.0,,,,Never Blocked,,,,,,,,,,,1
72,A141BEGMEHN31L,https://requester.mturk.com/workers/A141BEGMEHN31L,1,1,100.00%,0,0,0.00%,0,0,0.00%,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
73,A142FFFX25RI2B,https://requester.mturk.com/workers/A142FFFX25RI2B,1,1,100.00%,0,0,0.00%,0,0,0.00%,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
74,A143XRCI1YXAFE,https://requester.mturk.com/workers/A143XRCI1YXAFE,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,,1
75,A144OK7GGOQZKS,https://requester.mturk.com/workers/A144OK7GGOQZKS,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,1.0,,,,Never Blocked,,,,,,,,,,,1
76,A147VU5FL0JL70,https://requester.mturk.com/workers/A147VU5FL0JL70,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,,1
77,A149YZJBFRDWBJ,https://requester.mturk.com/workers/A149YZJBFRDWBJ,1,1,100.00%,0,0,0.00%,0,0,0.00%,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
78,A14E1BJEBDKBPF,https://requester.mturk.com/workers/A14E1BJEBDKBPF,5,5,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,Never Blocked,,,,,,,,,,,1
79,A14EYTLSMJRPUK,https://requester.mturk.com/workers/A14EYTLSMJRPUK,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,,1
80,A14LC364ZHJ5R1,https://requester.mturk.com/workers/A14LC364ZHJ5R1,3,3,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,1.0,,1.0,,1.0,,,,Never Blocked,,,,,,,,,,,1
81,A14LXHJAWRQWR6,https://requester.mturk.com/workers/A14LXHJAWRQWR6,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,,1
82,A14OQ52EFQAN2W,https://requester.mturk.com/workers/A14OQ52EFQAN2W,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,Never Blocked,,,True,True,True,True,True,True,False,A14OQ52EFQAN2W,1
83,A14SMQS3N1QWGG,https://requester.mturk.com/workers/A14SMQS3N1QWGG,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,1.0,,,,Never Blocked,,,,,,,,,,,1
84,A14WLAP6TCEKO0,https://requester.mturk.com/workers/A14WLAP6TCEKO0,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,,1
85,A14XK2ZCR1E8FD,https://requester.mturk.com/workers/A14XK2ZCR1E8FD,2,2,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,,1
86,A14XLNPSMH6CIA,https://requester.mturk.com/workers/A14XLNPSMH6CIA,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,,1
87,A14XSJMGQGOV6R,https://requester.mturk.com/workers/A14XSJMGQGOV6R,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
88,A14YBHS8YBLDAG,https://requester.mturk.com/workers/A14YBHS8YBLDAG,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,,1
89,A14Z5016RN01XM,https://requester.mturk.com/workers/A14Z5016RN01XM,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,,1
90,A14ZFK4M24LEE2,https://requester.mturk.com/workers/A14ZFK4M24LEE2,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,,1
91,A1505ZMMJAAZE1,https://requester.mturk.com/workers/A1505ZMMJAAZE1,3,3,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,1.0,,1.0,,1.0,,,,Never Blocked,,,,,,,,,,,1
92,A150GMV1YQWWB3,https://requester.mturk.com/workers/A150GMV1YQWWB3,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,,1
93,A15340BRCER2UO,https://requester.mturk.com/workers/A15340BRCER2UO,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,,1
94,A153HLAVH5FILS,https://requester.mturk.com/workers/A153HLAVH5FILS,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,,1
95,A154UU4I2EW2L4,https://requester.mturk.com/workers/A154UU4I2EW2L4,1,1,100.00%,0,0,0.00%,0,0,0.00%,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
96,A1561P9VVA3C1C,https://requester.mturk.com/workers/A1561P9VVA3C1C,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,,1
97,A157L6Z8QU3SDE,https://requester.mturk.com/workers/A157L6Z8QU3SDE,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,,1
98,A15B4KZ3S04HS8,https://requester.mturk.com/workers/A15B4KZ3S04HS8,2,2,100.00%,0,0,0.00%,0,0,0.00%,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,,1
