target,image1,image2,layer,category,correct,noise_image
badlands_222.jpg,badlands_62.jpg,badlands_222.jpg,1,badlands,right,noise_60.png
playground_219.jpg,playground_205.jpg,playground_219.jpg,1,playground,right,noise_1.png
golf_course_214.jpg,golf_course_312.jpg,golf_course_214.jpg,0,golf,right,noise_2.png
bridge_91.jpg,bridge_253.jpg,bridge_91.jpg,0,bridge,right,noise_3.png
bridge_108.jpg,bridge_108.jpg,bridge_116.jpg,0,bridge,left,noise_4.png
mountain_293.jpg,mountain_47.jpg,mountain_293.jpg,1,mountain,right,noise_5.png
playground_144.jpg,playground_144.jpg,playground_65.jpg,1,playground,left,noise_6.png
badlands_221.jpg,badlands_115.jpg,badlands_221.jpg,0,badlands,right,noise_7.png
highway_394.jpg,highway_394.jpg,highway_406.jpg,1,highway,left,noise_8.png
badlands_113.jpg,badlands_113.jpg,badlands_203.jpg,1,badlands,left,noise_9.png
golf_course_87.jpg,golf_course_161.jpg,golf_course_87.jpg,1,golf,right,noise_10.png
badlands_70.jpg,badlands_119.jpg,badlands_70.jpg,1,badlands,right,noise_11.png
playground_10.jpg,playground_10.jpg,playground_122.jpg,0,playground,left,noise_12.png
playground_76.jpg,playground_76.jpg,playground_72.jpg,1,playground,left,noise_13.png
highway_245.jpg,highway_245.jpg,highway_134.jpg,0,highway,left,noise_14.png
highway_156.jpg,highway_156.jpg,highway_160.jpg,0,highway,left,noise_15.png
highway_415.jpg,highway_60.jpg,highway_415.jpg,0,highway,right,noise_16.png
bridge_65.jpg,bridge_65.jpg,bridge_181.jpg,0,bridge,left,noise_17.png
highway_209.jpg,highway_122.jpg,highway_209.jpg,1,highway,right,noise_18.png
badlands_24.jpg,badlands_24.jpg,badlands_3.jpg,0,badlands,left,noise_19.png
golf_course_217.jpg,golf_course_35.jpg,golf_course_217.jpg,0,golf,right,noise_20.png
bridge_172.jpg,bridge_172.jpg,bridge_17.jpg,0,bridge,left,noise_21.png
golf_course_331.jpg,golf_course_331.jpg,golf_course_26.jpg,1,golf,left,noise_22.png
golf_course_195.jpg,golf_course_195.jpg,golf_course_2.jpg,1,golf,left,noise_23.png
highway_177.jpg,highway_177.jpg,highway_278.jpg,1,highway,left,noise_24.png
golf_course_78.jpg,golf_course_78.jpg,golf_course_101.jpg,1,golf,left,noise_25.png
playground_240.jpg,playground_40.jpg,playground_240.jpg,1,playground,right,noise_26.png
badlands_52.jpg,badlands_94.jpg,badlands_52.jpg,0,badlands,right,noise_27.png
mountain_156.jpg,mountain_156.jpg,mountain_295.jpg,1,mountain,left,noise_28.png
mountain_57.jpg,mountain_193.jpg,mountain_57.jpg,0,mountain,right,noise_29.png
playground_145.jpg,playground_145.jpg,playground_229.jpg,0,playground,left,noise_30.png
mountain_110.jpg,mountain_110.jpg,mountain_157.jpg,0,mountain,left,noise_31.png
bridge_191.jpg,bridge_191.jpg,bridge_75.jpg,1,bridge,left,noise_32.png
playground_257.jpg,playground_257.jpg,playground_214.jpg,0,playground,left,noise_33.png
playground_117.jpg,playground_127.jpg,playground_117.jpg,1,playground,right,noise_34.png
highway_359.jpg,highway_359.jpg,highway_379.jpg,1,highway,left,noise_35.png
badlands_21.jpg,badlands_21.jpg,badlands_98.jpg,1,badlands,left,noise_36.png
bridge_146.jpg,bridge_27.jpg,bridge_146.jpg,0,bridge,right,noise_37.png
mountain_154.jpg,mountain_95.jpg,mountain_154.jpg,1,mountain,right,noise_38.png
bridge_128.jpg,bridge_244.jpg,bridge_128.jpg,1,bridge,right,noise_39.png
golf_course_309.jpg,golf_course_16.jpg,golf_course_309.jpg,0,golf,right,noise_40.png
badlands_184.jpg,badlands_184.jpg,badlands_103.jpg,1,badlands,left,noise_41.png
mountain_230.jpg,mountain_97.jpg,mountain_230.jpg,1,mountain,right,noise_42.png
highway_93.jpg,highway_85.jpg,highway_93.jpg,0,highway,right,noise_43.png
golf_course_188.jpg,golf_course_157.jpg,golf_course_188.jpg,0,golf,right,noise_44.png
bridge_250.jpg,bridge_205.jpg,bridge_250.jpg,1,bridge,right,noise_45.png
playground_131.jpg,playground_131.jpg,playground_43.jpg,0,playground,left,noise_46.png
mountain_123.jpg,mountain_189.jpg,mountain_123.jpg,1,mountain,right,noise_47.png
badlands_23.jpg,badlands_114.jpg,badlands_23.jpg,0,badlands,right,noise_48.png
golf_course_193.jpg,golf_course_123.jpg,golf_course_193.jpg,1,golf,right,noise_49.png
badlands_137.jpg,badlands_194.jpg,badlands_137.jpg,0,badlands,right,noise_50.png
playground_60.jpg,playground_268.jpg,playground_60.jpg,0,playground,right,noise_51.png
golf_course_15.jpg,golf_course_113.jpg,golf_course_15.jpg,0,golf,right,noise_52.png
mountain_101.jpg,mountain_101.jpg,mountain_171.jpg,0,mountain,left,noise_53.png
mountain_232.jpg,mountain_3.jpg,mountain_232.jpg,0,mountain,right,noise_54.png
mountain_222.jpg,mountain_244.jpg,mountain_222.jpg,0,mountain,right,noise_55.png
highway_273.jpg,highway_384.jpg,highway_273.jpg,0,highway,right,noise_56.png
bridge_256.jpg,bridge_211.jpg,bridge_256.jpg,1,bridge,right,noise_57.png
bridge_202.jpg,bridge_38.jpg,bridge_202.jpg,1,bridge,right,noise_58.png
highway_294.jpg,highway_368.jpg,highway_294.jpg,1,highway,right,noise_59.png
