,req1,req2,req3
ABBOTTS_BABBLER_1.jpg,0,11,1
ABBOTTS_BABBLER_2.jpg,0,30,89
ABBOTTS_BABBLER_3.jpg,14,15,24
ABBOTTS_BABBLER_4.jpg,1,23,19
ABBOTTS_BABBLER_5.jpg,0,14,129
ABBOTTS_BOOBY_1.jpg,0,15,9
ABBOTTS_BOOBY_2.jpg,0,40,39
ABBOTTS_BOOBY_3.jpg,0,13,70
ABBOTTS_BOOBY_4.jpg,0,17,2
ABBOTTS_BOOBY_5.jpg,0,10,4
ABYSSINIAN_GROUND_HORNBILL_1.jpg,0,6,28
ABYSSINIAN_GROUND_HORNBILL_2.jpg,0,31,150
ABYSSINIAN_GROUND_HORNBILL_3.jpg,8,44,7
ABYSSINIAN_GROUND_HORNBILL_4.jpg,1,8,30
ABYSSINIAN_GROUND_HORNBILL_5.jpg,0,14,4
AFRICAN_CROWNED_CRANE_1.jpg,0,0,32
AFRICAN_CROWNED_CRANE_2.jpg,1,0,94
AFRICAN_CROWNED_CRANE_3.jpg,0,8,17
AFRICAN_CROWNED_CRANE_4.jpg,0,0,22
AFRICAN_CROWNED_CRANE_5.jpg,0,0,12
AFRICAN_EMERALD_CUCKOO_1.jpg,8,1,62
AFRICAN_EMERALD_CUCKOO_2.jpg,0,19,31
AFRICAN_EMERALD_CUCKOO_3.jpg,19,42,62
AFRICAN_EMERALD_CUCKOO_4.jpg,1,18,5
AFRICAN_EMERALD_CUCKOO_5.jpg,2,90,20
AFRICAN_FIREFINCH_1.jpg,8,79,95
AFRICAN_FIREFINCH_2.jpg,0,60,46
AFRICAN_FIREFINCH_3.jpg,0,33,231
AFRICAN_FIREFINCH_4.jpg,0,23,27
AFRICAN_FIREFINCH_5.jpg,2,4,12
AFRICAN_OYSTER_CATCHER_1.jpg,0,78,8
AFRICAN_OYSTER_CATCHER_2.jpg,0,135,188
AFRICAN_OYSTER_CATCHER_3.jpg,0,135,19
AFRICAN_OYSTER_CATCHER_4.jpg,0,5,35
AFRICAN_OYSTER_CATCHER_5.jpg,0,22,19
AFRICAN_PIED_HORNBILL_1.jpg,0,24,101
AFRICAN_PIED_HORNBILL_2.jpg,0,22,49
AFRICAN_PIED_HORNBILL_3.jpg,0,0,58
AFRICAN_PIED_HORNBILL_4.jpg,0,16,80
AFRICAN_PIED_HORNBILL_5.jpg,0,26,483
ALBATROSS_1.jpg,0,1,9
ALBATROSS_2.jpg,0,0,0
ALBATROSS_3.jpg,0,0,2
ALBATROSS_4.jpg,0,15,30
ALBATROSS_5.jpg,0,0,6
ALBERTS_TOWHEE_1.jpg,0,6,13
ALBERTS_TOWHEE_2.jpg,0,31,36
ALBERTS_TOWHEE_3.jpg,0,38,28
ALBERTS_TOWHEE_4.jpg,0,36,84
ALBERTS_TOWHEE_5.jpg,0,16,26
ALEXANDRINE_PARAKEET_1.jpg,1,16,22
ALEXANDRINE_PARAKEET_2.jpg,0,46,27
ALEXANDRINE_PARAKEET_3.jpg,0,50,45
ALEXANDRINE_PARAKEET_4.jpg,7,3,22
ALEXANDRINE_PARAKEET_5.jpg,10,7,2
ALPINE_CHOUGH_1.jpg,0,93,229
ALPINE_CHOUGH_2.jpg,0,83,90
ALPINE_CHOUGH_3.jpg,0,16,11
ALPINE_CHOUGH_4.jpg,0,156,79
ALPINE_CHOUGH_5.jpg,0,50,6
ALTAMIRA_YELLOWTHROAT_1.jpg,0,13,30
ALTAMIRA_YELLOWTHROAT_2.jpg,2,2,0
ALTAMIRA_YELLOWTHROAT_3.jpg,3,55,79
ALTAMIRA_YELLOWTHROAT_4.jpg,2,6,25
ALTAMIRA_YELLOWTHROAT_5.jpg,41,2,47
AMERICAN_AVOCET_1.jpg,0,53,24
AMERICAN_AVOCET_2.jpg,0,20,19
AMERICAN_AVOCET_3.jpg,0,9,9
AMERICAN_AVOCET_4.jpg,0,32,64
AMERICAN_AVOCET_5.jpg,0,73,88
AMERICAN_BITTERN_1.jpg,0,5,1
AMERICAN_BITTERN_2.jpg,0,25,4
AMERICAN_BITTERN_3.jpg,0,5,1
AMERICAN_BITTERN_4.jpg,8,4,0
AMERICAN_BITTERN_5.jpg,0,14,2
AMERICAN_COOT_1.jpg,0,14,7
AMERICAN_COOT_2.jpg,0,49,22
AMERICAN_COOT_3.jpg,0,23,2
AMERICAN_COOT_4.jpg,0,6,2
AMERICAN_COOT_5.jpg,0,66,23
AMERICAN_FLAMINGO_1.jpg,0,0,4
AMERICAN_FLAMINGO_2.jpg,0,0,1
AMERICAN_FLAMINGO_3.jpg,13,3,1
AMERICAN_FLAMINGO_4.jpg,0,0,1
AMERICAN_FLAMINGO_5.jpg,0,2,4
AMERICAN_GOLDFINCH_1.jpg,25,42,150
AMERICAN_GOLDFINCH_2.jpg,0,131,62
AMERICAN_GOLDFINCH_3.jpg,0,71,97
AMERICAN_GOLDFINCH_4.jpg,27,70,133
AMERICAN_GOLDFINCH_5.jpg,17,14,135
AMERICAN_KESTREL_1.jpg,1,67,315
AMERICAN_KESTREL_2.jpg,0,32,123
AMERICAN_KESTREL_3.jpg,0,38,10
AMERICAN_KESTREL_4.jpg,0,12,29
AMERICAN_KESTREL_5.jpg,0,8,17
AMERICAN_PIPIT_1.jpg,0,117,52
AMERICAN_PIPIT_2.jpg,10,24,39
AMERICAN_PIPIT_3.jpg,0,36,50
AMERICAN_PIPIT_4.jpg,0,26,32
AMERICAN_PIPIT_5.jpg,0,157,120
AMERICAN_REDSTART_1.jpg,0,1,23
AMERICAN_REDSTART_2.jpg,0,12,52
AMERICAN_REDSTART_3.jpg,0,24,91
AMERICAN_REDSTART_4.jpg,0,1,43
AMERICAN_REDSTART_5.jpg,0,45,100
AMERICAN_WIGEON_1.jpg,0,0,1
AMERICAN_WIGEON_2.jpg,0,15,78
AMERICAN_WIGEON_3.jpg,0,4,8
AMERICAN_WIGEON_4.jpg,0,19,25
AMERICAN_WIGEON_5.jpg,0,6,11
AMETHYST_WOODSTAR_1.jpg,0,4,170
AMETHYST_WOODSTAR_2.jpg,0,11,53
AMETHYST_WOODSTAR_3.jpg,0,6,32
AMETHYST_WOODSTAR_4.jpg,1,3,34
AMETHYST_WOODSTAR_5.jpg,0,8,78
ANDEAN_GOOSE_1.jpg,0,17,4
ANDEAN_GOOSE_2.jpg,0,52,18
ANDEAN_GOOSE_3.jpg,0,97,33
ANDEAN_GOOSE_4.jpg,0,7,8
ANDEAN_GOOSE_5.jpg,0,29,18
ANDEAN_LAPWING_1.jpg,0,8,9
ANDEAN_LAPWING_2.jpg,8,24,43
ANDEAN_LAPWING_3.jpg,0,24,23
ANDEAN_LAPWING_4.jpg,0,5,84
ANDEAN_LAPWING_5.jpg,8,36,43
ANDEAN_SISKIN_1.jpg,0,35,53
ANDEAN_SISKIN_2.jpg,0,32,50
ANDEAN_SISKIN_3.jpg,0,10,38
ANDEAN_SISKIN_4.jpg,0,41,43
ANDEAN_SISKIN_5.jpg,16,40,111
ANHINGA_1.jpg,0,1,8
ANHINGA_2.jpg,0,2,12
ANHINGA_3.jpg,0,4,25
ANHINGA_4.jpg,0,129,24
ANHINGA_5.jpg,0,2,19
ANIANIAU_1.jpg,7,16,28
ANIANIAU_2.jpg,14,1,5
ANIANIAU_3.jpg,0,65,79
ANIANIAU_4.jpg,2,29,24
ANIANIAU_5.jpg,11,24,71
ANNAS_HUMMINGBIRD_1.jpg,0,10,29
ANNAS_HUMMINGBIRD_2.jpg,0,10,96
ANNAS_HUMMINGBIRD_3.jpg,0,28,14
ANNAS_HUMMINGBIRD_4.jpg,0,23,98
ANNAS_HUMMINGBIRD_5.jpg,0,11,102
ANTBIRD_1.jpg,0,6,11
ANTBIRD_2.jpg,0,8,106
ANTBIRD_3.jpg,0,18,70
ANTBIRD_4.jpg,0,51,32
ANTBIRD_5.jpg,0,15,57
ANTILLEAN_EUPHONIA_1.jpg,2,3,11
ANTILLEAN_EUPHONIA_2.jpg,2,13,54
ANTILLEAN_EUPHONIA_3.jpg,0,41,57
ANTILLEAN_EUPHONIA_4.jpg,3,17,51
ANTILLEAN_EUPHONIA_5.jpg,0,10,36
APAPANE_1.jpg,0,33,42
APAPANE_2.jpg,0,20,164
APAPANE_3.jpg,0,28,152
APAPANE_4.jpg,1,11,145
APAPANE_5.jpg,0,26,104
APOSTLEBIRD_1.jpg,0,15,14
APOSTLEBIRD_2.jpg,1,7,8
APOSTLEBIRD_3.jpg,0,9,0
APOSTLEBIRD_4.jpg,1,19,9
APOSTLEBIRD_5.jpg,0,32,34
ARARIPE_MANAKIN_1.jpg,0,48,171
ARARIPE_MANAKIN_2.jpg,0,43,150
ARARIPE_MANAKIN_3.jpg,0,24,307
ARARIPE_MANAKIN_4.jpg,0,78,482
ARARIPE_MANAKIN_5.jpg,0,72,225
ASHY_STORM_PETREL_1.jpg,0,8,39
ASHY_STORM_PETREL_2.jpg,0,0,0
ASHY_STORM_PETREL_3.jpg,0,6,0
ASHY_STORM_PETREL_4.jpg,0,4,5
ASHY_STORM_PETREL_5.jpg,0,1,1
ASHY_THRUSHBIRD_1.jpg,0,41,291
ASHY_THRUSHBIRD_2.jpg,0,56,91
ASHY_THRUSHBIRD_3.jpg,0,37,74
ASHY_THRUSHBIRD_4.jpg,0,67,69
ASHY_THRUSHBIRD_5.jpg,0,39,79
ASIAN_CRESTED_IBIS_1.jpg,1,1,35
ASIAN_CRESTED_IBIS_2.jpg,0,2,8
ASIAN_CRESTED_IBIS_3.jpg,0,28,6
ASIAN_CRESTED_IBIS_4.jpg,154,17,6
ASIAN_CRESTED_IBIS_5.jpg,0,8,27
ASIAN_DOLLARD_BIRD_1.jpg,0,8,119
ASIAN_DOLLARD_BIRD_2.jpg,0,39,441
ASIAN_DOLLARD_BIRD_3.jpg,0,16,128
ASIAN_DOLLARD_BIRD_4.jpg,0,49,214
ASIAN_DOLLARD_BIRD_5.jpg,0,0,7
AUCKLAND_SHAQ_1.jpg,0,27,138
AUCKLAND_SHAQ_2.jpg,0,40,80
AUCKLAND_SHAQ_3.jpg,0,0,67
AUCKLAND_SHAQ_4.jpg,0,20,6
AUCKLAND_SHAQ_5.jpg,0,40,54
AUSTRALASIAN_FIGBIRD_1.jpg,0,107,178
